id_trim,Make,Model,Serie,Trim,Class bus,Appointment,The total number of seats (including boarding),The Luggage compartment [m3],Quantity of doors,Door width [mm],The height of a step above the level of the road [mm],The width of the passage between the seats,The ceiling height in the cabin [mm],Engine model,Environmental standard,Potencia [cm3],Engine power [bhp],Torque [Nm],Engine type,Number of cylinders,Arrangement of cylinders,Fuel,Compression ratio,Engine layout,Engine power at rpm [min-1],Torque at rpm [min-1],If the rpm with rpm [min-1],Pressurization,Transmission type,Amount of gear,Wheel arrangement,Model transmission,Fuel tank capacity [litre],Maximum speed,"Fuel consumption at 60 km/h, l/100 km [litre]",Diam`etre de braquage [m],Outer turning radius [mm],Front overhang [mm],Rear overhang [mm],Tyre dimension,The full weight of the bus [kg],Front track [mm],Rear track [mm],Curb weight [kg],Base [mm],"Rims, the dimension",Height [mm],Back track width [mm],Length [mm],The load on the front axle [kg],The load on the rear axle [kg],The load on the Central axle [kg],Ground clearance [mm],Type front suspension,Type rear suspension,The type of braking system,Type steering
81129,Bogdan,City bus,A-06900,A-069.00,Small,City,33 (19),,,,,,,D4AL,EURO II,3298,114,284,Disel,4,inline,Diesel fuel,,,3400,2000,,turbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81128,Bogdan,City bus,A-06921,A-069.21,Small,City,33 (15),,2,810,,500,1960,D4AL,EURO II,3298,114,284,Disel,4,inline,Diesel fuel,,,3400,2000,,turbine,Manual,5,,,,100,15,,,1230,2110,"7,00x16-10PR",6700,1705,1695,4090,3350,,2860,2180,6690,2600,4100,,,Semi-elliptical leaf springs,Semi-elliptical leaf springs,,
81127,Bogdan,City bus,A-09201,A-092.01,Small,City,46 (22),,,,,,,"4,6 (121 Hp)",EURO I,4 570,121,,Disel,,,Diesel fuel,,front,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81126,Bogdan,City bus,A-09202,A-092.02,Small,City,43 (22),,,,,,,"4,6 (121 Hp)",EURO II,4 570,121,,Disel,,,Diesel fuel,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81125,Bogdan,City bus,A-09204,A-092.04,Small,City,43 (22),,,,,,,"5,2 (174 Hp)",EURO III,5193,174,500,Disel,4,inline,Diesel fuel,,front,2600,1500,,,Manual,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
81124,Bogdan,City bus,A-09205,A-092.05,Small,City,43 (22),,,,,,,"5,2 (148 Hp)",EURO III,5193,148,404,Disel,4,inline,Diesel fuel,,front,2600,1500,,turbine,Manual,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
81132,Bogdan,City bus,A-1443,144.3,Average,City,80 (31),,,,,,,"8,2 (200 Hp)",EURO I,8226,200,667,Disel,6,inline,Diesel fuel,,"Rear, longitudinally",,,,With intercooling,Manual,6,,,,,,,,,,,,,,,,,,,,,,,,"Dependent, pneumatic","Dependent, pneumatic",,
81131,Bogdan,City bus,A-1445,144.5,Average,City,80 (31),,,,,,,"7,1 (227 Hp)",EURO II,7127,227,667,Disel,6,inline,Diesel fuel,,"Rear, longitudinally",,,,With intercooling,Manual,7,,,,,,,,,,,14500,,,8980,,,2960,2500,9880,,,,,"Dependent, pneumatic","Dependent, pneumatic",,
81130,Bogdan,City bus,A-20111,A-20111,Average,City,49+1 (24+1),,2,820,360,,,Hyundai D4GA,EURO IV,3933,140,400,Disel,4,inline,Diesel fuel,,,,,,,Manual,5,4x2,,,,,,,,,"215/75  R 17,5",8200,1680,1490,5000,4200,,2700,2300,7880,,,,,"Dependent, spring","Dependent, pneumatic",Hydraulic,
81123,Bogdan,City bus,A-231,A-231,Extra large,City,148 (43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22550,,,,7400+1640,,2900,2500,14560,,,,,,,,
81138,Bogdan,School bus,A-3017,301.71,Small,School,34,,1,650,,,1950,"4,6 (121 Hp)",EURO I,4 570,121,,Disel,,,Diesel fuel,,front,3200,,,,Manual,4,4x2,,,,,,,,,,,,,5280,4175,,2900,2310,7970,,,,,,,,
81139,Bogdan,School bus,A-3017,301.72,Small,School,21,,1,650,,,1950,"4,6 (121 Hp)",EURO II,4 570,121,,Disel,,,Diesel fuel,,,3200,,,,Manual,4,4x2,,,,,,,,,,,,,5280,4175,,2900,2310,7970,,,,,,,,
81133,Bogdan,Shuttle bus,A-092,A-092.1,Small,Intercity,46 (20+1),,,,,,,ISUZU 4HE1-TC,EURO III,4750,146,470,Disel,,,Diesel fuel,,,2300,1600,,,Manual,6,,,,120,"17,5",,,,,,8280,,,,3815,,2740,2300,7420,,,,,,,,
81134,Bogdan,Shuttle bus,A-092,A-092.2,Small,Suburban,46 (27+1),,,,,,,ISUZU 4HE1-XS,EURO III,4750,145,470,Disel,,,Diesel fuel,,,2300,1600,,,Manual,6,,mVP6R,,120,"17,5",,,,,,,,,5000,3815,,2740,2300,7420,,,,,"Dependent, spring","Dependent, spring-air",Hydraulic with vacuum booster,With hydraulic booster
81135,Bogdan,Shuttle bus,A-09212,A-092.12,Small,Suburban,35 (26),"1,4",2,,,,1950,"4,6 (121 Hp)",EURO II,4 570,121,,Disel,,,Diesel fuel,,,3200,,,,,,,,,,,,,,,,,,,,,,2850,2380,7430,,,,,,,,
81136,Bogdan,Shuttle bus,A-1452,145.2,Average,Suburban,70 (39),,,,,,2200,"7,1 (227 Hp)",EURO II,7127,227,667,Disel,6,inline,Diesel fuel,,"Rear, longitudinally",,,,With intercooling,Manual,7,4x2,,,,,,,,,,,,,9100,4800,,2960,2500,9880,,,,,,,,
81137,Bogdan,Tourist bus,A-40160,A-40160,Average,Tourist,30,6,1,650,,,1950,"5,2 (174 Hp)",EURO III,5193,174,500,Disel,4,inline,Diesel fuel,,front,2600,1500,,,Manual,5,4x2,,,100,,,,,,,,,,,,,3400,2380,8150,,,,,"Independent, pneumatic","Independent, pneumatic",,
81067,Bova,Futura,Futura,FHD14.430,Large,Tourist,,,,,,,,,EURO III,,428,,Disel,,,Diesel fuel,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,13600,,,,,Pneumatic,Pneumatic,,
81068,Bova,Futura,Futura,FHD15.430,Large,Tourist,49+1,,,,,,,,EURO III,,428,,Disel,,,Diesel fuel,,,,,,,Manual,,6x2,,,,,,,,,,,,,,,,,,15000,,,,,Pneumatic,Pneumatic,,
81069,Bova,Futura,Futura,FHX12.370,Large,Tourist,52+1+1,,2,,,,,,EURO II,,370,,Disel,,,Diesel fuel,,,,,,,Manual,,,,,,,,,,,,,,,,6090,,,,12000,,,,,Pneumatic,Pneumatic,,
81070,Bova,Futura,Futura,FLD12.300,Large,Tourist,49+1+1,,2,,,,,,EURO I,,300,,Disel,,,Diesel fuel,,,,,,,,,,,,,,,,,,,,,,,6090,,,,12000,,,,,,,,
81071,Bova,Magiq,Magiq,HD 120.340XE,Large,Tourist,52+1+1,,2,,,,,,,,340,,Disel,,,Diesel fuel,,,,,,,Manual,6,,,,,,,,,,,,,,,,,,,,,,,,Pneumatic,Pneumatic,,
81072,Bova,Magiq,Magiq,HD 120.380XE,Large,Tourist,,,,,,,,,EURO II,,379,,Disel,,,Diesel fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81073,Bova,Magiq,Magiq,HD 131-430XE,Large,Tourist,29+1,,,,,,,,EURO III,,428,,Disel,,,Diesel fuel,,,,,,,Manual,6,,,,,,,,,,,,,,,,,,,13100,,,,,Pneumatic,Pneumatic,,
81114,Bristol,Lodekka,Lodekka,Lodekka,Large,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
