id_trim,Make,Model,Serie,Trim,Engine model,Potencia [cm3],Engine power [bhp],Torque [Nm],Engine type,Number of cylinders,Fuel,Engine power at rpm [min-1],Torque at rpm [min-1],Arrangement of cylinders,Environmental standard,Pressurization,Compression ratio,If the rpm with rpm [min-1],Transmission type,Amount of gear,Model transmission,Wheel arrangement,Drive wheels,Fuel tank capacity [litre],Diam`etre de braquage [m],"Angle me to ove. lift, not less [%]",Maximum speed [km/h],Fuel consumption [l/100 km],Gross vehicle weight [kg],Total train weight [kg],Full trailer weight [kg],Tyre dimension,Load on fifth wheel [kg],The load on the front axle [kg],The load on the rear axle (trolley) [kg],"Rims, the dimension",Curb vehicle weight [kg],Cab type,Length of the tractor [mm],Tractor width [mm],Wheelbase [mm],Height of the tractor [mm],Ground clearance [mm],Front track [mm],Rear track [mm],Front brake,Rear brake,Type rear suspension,Type front suspension
77257,BZKT,BAZ-6306,BAZ-6306,6306,"YAMZ-8424,10",,470,,,,Diesel fuel,,,,,,,,Manual,9,,,8x8,,,,,,,47500,15000,,,,,,,,10401,2750,,3190,,,,,,,
77259,BZKT,BAZ-6402,BAZ-6402,6402,"YAMZ-8424,10",,470,,,,Diesel fuel,,,,,,,,Manual,9,,,6x6,,,,,,,45800,,,11500,,,,16000,,9180,2750,,2850,,,,,,,
77258,BZKT,BAZ-6402,BAZ-64022,64022,"YAMZ-8424,10",,470,,,,Diesel fuel,,,,,,,,Manual,9,,,6x6,,,,,,,45800,,,11500,,,,16000,,9100,2750,,2850,,,,,,,
77260,BZKT,BAZ-6403,BAZ-6403,6403,"YAMZ-8424,10",,470,,,,Diesel fuel,,,,,,,,Manual,9,,,8x8,,,,,,,65000,,,19500,,,,17700,,9595,2750,,2850,,,,,,,
76611,Daewoo,M2TSF,M2TSF,M2TSF,DV11,,420,1834,Disel,6,Diesel fuel,2100,1260,inline,EURO III,turbine,,,Manual,10,T14S10,,4x2,400,,,,,24000,40000,6770,,,6500,11500,,6470,,,,,,,,,,,,
76612,Daewoo,Prima,Prima Ultra,6x4,,,,,,,,,,,,,,,Manual,16,ZF,6x4,,,,,,,,,,,,,,,,2-berth with 1 sleeping,,,,,,,,,,,
76613,Daewoo,V3TSF,V3TSF,V3TSF,DV11,10964,420,1834,Disel,8,Diesel fuel,2100,1100,V-type,EURO III,turbine,,,Manual,,16S151,,6x4,400,,,,,21310,55000,16500,,,6500,23000,,8500,,,,,,,,,,,,
76614,Daewoo,V3TVF,V3TVF,V3TVF,DV15,14618,420,1666,Disel,8,Diesel fuel,2100,1200,V-type,EURO III,turbine,,,,18,,6x4,,400,,,110,,29500,68000,,,,6500,23000,,,,,,,,,,,,,,
76865,MAZ,504,504A,504A,YAMZ-236m2,11150,180,667,Disel,6,Diesel fuel,2100,1250-1450,V-type,,turbine,,,,,,,,,,,,32,14375,,17750,,10000,4375,,,,2-berth without sleeping,5630,2500,3400,2650,,1970,1865,drum,drum,,
76864,MAZ,504,504V,504V,YAMZ-238D,14850,240,,Disel,8,Diesel fuel,2100,,V-type,EURO II,turbine,"15,5",,Manual,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
