id_trim,Make,Model,Serie,Trim,Body type,The length of the car [mm],The width of the car [mm],The height of the car [mm],Wheelbase [mm],Ground clearance [mm],Front track [mm],Rear track [mm],Potencia [cm3],Engine power [bhp],With turnover [min-1],Torque [Nm],Engine type,Arrangement of cylinders,Number of cylinders,Compression ratio,Fuel,Pressurization,Engine power at rpm [min-1],Torque at rpm [min-1],The volume of the engine at rpm [min-1],If the rpm with rpm [min-1],Engine model,Environmental standard,The number of valves per cylinder,Number of gear (mechanical gearbox),Drive wheels,Number of gears (automatic transmission),Maximum speed [km/h],Fuel consumption mixed cycle [l/100 km],Acceleration to 100 km/h [c],Fuel tank capacity [litre],Acceleration time to 60 km/h [c],Payload [kg],Number of places,Length of cargo area (platform) [mm],Width the cargo compartment (platform) [mm],The height of the cargo compartment (sides of the platform) [mm],The volume of the cargo compartment [m3],"Rims, the dimension",Tyre dimension,Total weight with trailer [kg],Curb vehicle weight [kg],Gross vehicle weight [kg],Servo,Diam`etre de braquage [m],Type steering,Type rear suspension,Type front suspension,Front brake,Rear brake
108292,Mercedes-Benz,100,100 Bus (631),D (56 Hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108293,Mercedes-Benz,100,100 van (631),D (72 Hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75408,Mercedes-Benz,Citan,Citan,108 CDI (75Hp),Delivery vans,4321,1829,1809,2697,,,,1461,75,1750-2500,180,Disel,inline,4,,Diesel fuel,turbine,4000,1750-2500,,,,,2,5,Front wheel drive,,,4.8,,60,,760,2,,,,3.1,,195/65 R15,,1290,1950,,,,,"Independent, MacPherson type on the lower triangular levers",,
75409,Mercedes-Benz,Citan,Citan,109 CDI (90Hp),Delivery vans,4321,1829,1809,2697,,,,1461,90,1750-3000,200,Disel,inline,4,,Diesel fuel,turbine,4000,1750-3000,,,,,2,5,Front wheel drive,,,4.8,,60,,760,2,,,,3.1,,195/65 R15,,1290,1950,,,,,"Independent, MacPherson type on the lower triangular levers",,
75410,Mercedes-Benz,Citan,Citan,111 CDI (110Hp),Delivery vans,4321,1829,1809,2697,,,,1461,110,1750-2750,240,Disel,inline,4,,Diesel fuel,turbine,4000,1750-2750,,,,,2,6,Front wheel drive,,,4.8,,60,,760,2,,,,3.1,,195/65 R15,,1290,1950,,,,,"Independent, MacPherson type on the lower triangular levers",,
75406,Mercedes-Benz,Citan,Citan Mixto,109 CDI (75Hp),Minibus,4705,,,,,,,1461,75,1750-2500,180,Disel,inline,4,,Diesel fuel,turbine,4000,1750-2500,,,,,2,,Front wheel drive,,,4.7,,,,660,,,,,,,,,1520,3250,,,,,,ventilated disc,Disc
75407,Mercedes-Benz,Citan,Citan Mixto,111 CDI (110 Hp),Minibus,4705,,,,,,,1461,110,1750-2750,240,Disel,inline,4,,Diesel fuel,turbine,4000,1750-2750,,,,,2,6,Front wheel drive,,,4.7,,,,660,,,,,,,,,1520,3250,,,,,,ventilated disc,Disc
74505,Mercedes-Benz,Henschel,Henschel 2t Bus,206 D 2.2 (60 Hp),Minibus,4480,1820,2200,2400,,1450,1450,2200,60,,,Disel,,4,,Diesel fuel,,,,,,"OM 615,917",,,,,,,,,,,1000,,,,,,,175 R14 C,,1800,2800,,,,,,,
74506,Mercedes-Benz,Henschel,Henschel 2t Bus,207 1.8 (69 Hp),Minibus,4480,1820,2200,2400,,1450,1450,1798,69,2800,127.5,Gasoline,inline,4,8,,,,,,,A 70NV,,,,,,107,,,,,1000,,,,,,,175 R14 C,,1800,2800,,,,,,,
74426,Mercedes-Benz,Sprinter,Sprinter 2t Bus,208 CDI,Minibus,4890,1922,2350,3000,,,,2151,82,1400-2600,200,0,inline,4,19,Diesel fuel,turbine,3800,1400-2600,,,,EURO III,4,5,Rear wheel drive,,119,10.7,,76,,795,,,,,4.8,,,,1795,2590,Hydraulic booster,5.6,,,,Disc,Disc
